filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
50.png,3100978,"{}",1,0,"{""name"":""rect"",""x"":1876,""y"":470,""width"":377,""height"":457}","{}"
51.png,3109827,"{}",1,0,"{""name"":""rect"",""x"":1552,""y"":1604,""width"":382,""height"":189}","{}"
52.png,3162888,"{}",5,0,"{""name"":""rect"",""x"":103,""y"":475,""width"":380,""height"":444}","{}"
52.png,3162888,"{}",5,1,"{""name"":""rect"",""x"":617,""y"":821,""width"":382,""height"":447}","{}"
52.png,3162888,"{}",5,2,"{""name"":""rect"",""x"":715,""y"":635,""width"":356,""height"":488}","{}"
52.png,3162888,"{}",5,3,"{""name"":""rect"",""x"":1232,""y"":734,""width"":398,""height"":457}","{}"
52.png,3162888,"{}",5,4,"{""name"":""rect"",""x"":2234,""y"":1005,""width"":499,""height"":426}","{}"
53.png,3627421,"{}",7,0,"{""name"":""rect"",""x"":103,""y"":248,""width"":395,""height"":261}","{}"
53.png,3627421,"{}",7,1,"{""name"":""rect"",""x"":610,""y"":245,""width"":462,""height"":431}","{}"
53.png,3627421,"{}",7,2,"{""name"":""rect"",""x"":1232,""y"":310,""width"":393,""height"":462}","{}"
53.png,3627421,"{}",7,3,"{""name"":""rect"",""x"":2242,""y"":501,""width"":480,""height"":416}","{}"
53.png,3627421,"{}",7,4,"{""name"":""rect"",""x"":2250,""y"":1286,""width"":380,""height"":437}","{}"
53.png,3627421,"{}",7,5,"{""name"":""rect"",""x"":1927,""y"":1304,""width"":478,""height"":418}","{}"
53.png,3627421,"{}",7,6,"{""name"":""rect"",""x"":1689,""y"":1431,""width"":561,""height"":364}","{}"
54.png,3463768,"{}",7,0,"{""name"":""rect"",""x"":1940,""y"":1036,""width"":480,""height"":424}","{}"
54.png,3463768,"{}",7,1,"{""name"":""rect"",""x"":1692,""y"":1173,""width"":400,""height"":462}","{}"
54.png,3463768,"{}",7,2,"{""name"":""rect"",""x"":1893,""y"":1410,""width"":408,""height"":367}","{}"
54.png,3463768,"{}",7,3,"{""name"":""rect"",""x"":2234,""y"":1054,""width"":395,""height"":452}","{}"
54.png,3463768,"{}",7,4,"{""name"":""rect"",""x"":553,""y"":1607,""width"":393,""height"":189}","{}"
54.png,3463768,"{}",7,5,"{""name"":""rect"",""x"":2239,""y"":245,""width"":483,""height"":318}","{}"
54.png,3463768,"{}",7,6,"{""name"":""rect"",""x"":1235,""y"":245,""width"":387,""height"":271}","{}"
55.png,3393541,"{}",8,0,"{""name"":""rect"",""x"":1937,""y"":331,""width"":475,""height"":403}","{}"
55.png,3393541,"{}",8,1,"{""name"":""rect"",""x"":2250,""y"":514,""width"":354,""height"":431}","{}"
55.png,3393541,"{}",8,2,"{""name"":""rect"",""x"":1728,""y"":522,""width"":375,""height"":457}","{}"
55.png,3393541,"{}",8,3,"{""name"":""rect"",""x"":1883,""y"":772,""width"":390,""height"":442}","{}"
55.png,3393541,"{}",8,4,"{""name"":""rect"",""x"":1607,""y"":1002,""width"":393,""height"":444}","{}"
55.png,3393541,"{}",8,5,"{""name"":""rect"",""x"":1160,""y"":788,""width"":385,""height"":452}","{}"
55.png,3393541,"{}",8,6,"{""name"":""rect"",""x"":561,""y"":912,""width"":395,""height"":449}","{}"
55.png,3393541,"{}",8,7,"{""name"":""rect"",""x"":119,""y"":1454,""width"":431,""height"":331}","{}"
56.png,3435223,"{}",7,0,"{""name"":""rect"",""x"":548,""y"":437,""width"":408,""height"":470}","{}"
56.png,3435223,"{}",7,1,"{""name"":""rect"",""x"":1609,""y"":524,""width"":393,""height"":449}","{}"
56.png,3435223,"{}",7,2,"{""name"":""rect"",""x"":1289,""y"":927,""width"":377,""height"":460}","{}"
56.png,3435223,"{}",7,3,"{""name"":""rect"",""x"":956,""y"":1348,""width"":514,""height"":413}","{}"
56.png,3435223,"{}",7,4,"{""name"":""rect"",""x"":108,""y"":951,""width"":390,""height"":437}","{}"
56.png,3435223,"{}",7,5,"{""name"":""rect"",""x"":163,""y"":1118,""width"":398,""height"":439}","{}"
56.png,3435223,"{}",7,6,"{""name"":""rect"",""x"":1176,""y"":245,""width"":377,""height"":271}","{}"
57.png,3737596,"{}",5,0,"{""name"":""rect"",""x"":563,""y"":245,""width"":382,""height"":356}","{}"
57.png,3737596,"{}",5,1,"{""name"":""rect"",""x"":969,""y"":920,""width"":491,""height"":424}","{}"
57.png,3737596,"{}",5,2,"{""name"":""rect"",""x"":2247,""y"":1279,""width"":375,""height"":457}","{}"
57.png,3737596,"{}",5,3,"{""name"":""rect"",""x"":111,""y"":617,""width"":385,""height"":429}","{}"
57.png,3737596,"{}",5,4,"{""name"":""rect"",""x"":155,""y"":889,""width"":398,""height"":380}","{}"
58.png,3879507,"{}",4,0,"{""name"":""rect"",""x"":127,""y"":393,""width"":367,""height"":442}","{}"
58.png,3879507,"{}",4,1,"{""name"":""rect"",""x"":158,""y"":651,""width"":400,""height"":444}","{}"
58.png,3879507,"{}",4,2,"{""name"":""rect"",""x"":225,""y"":1488,""width"":375,""height"":305}","{}"
58.png,3879507,"{}",4,3,"{""name"":""rect"",""x"":2234,""y"":1044,""width"":403,""height"":442}","{}"
59.png,3563267,"{}",4,0,"{""name"":""rect"",""x"":98,""y"":240,""width"":400,""height"":279}","{}"
59.png,3563267,"{}",4,1,"{""name"":""rect"",""x"":155,""y"":385,""width"":398,""height"":449}","{}"
59.png,3563267,"{}",4,2,"{""name"":""rect"",""x"":661,""y"":1547,""width"":385,""height"":240}","{}"
59.png,3563267,"{}",4,3,"{""name"":""rect"",""x"":1558,""y"":1514,""width"":398,""height"":271}","{}"
60.png,3445531,"{}",1,0,"{""name"":""rect"",""x"":883,""y"":1384,""width"":475,""height"":398}","{}"
